position.lat,position.lng,Restaurants,Department Stores,Gyms,Cluster
17.39767,78.47751,20,20,7,1
17.40056,78.44668,20,20,4,1
17.38869,78.44209,20,20,3,1
17.38705,78.44209,20,20,1,2
17.3797,78.47758,20,20,6,1
17.39081,78.44209,20,20,1,1
17.38838,78.44196,20,20,3,2
17.39134,78.44214,20,20,1,1
17.40052,78.44629,20,20,4,1
17.40003,78.44585,20,20,4,1
17.39003,78.4803,20,20,8,2
17.39103,78.44182,20,20,1,1
17.39331,78.44178,20,20,1,1
17.40164,78.44623,20,20,4,2
17.39052,78.44081,20,20,1,1
17.38872,78.44057,20,20,4,1
17.40191,78.44551,20,20,4,1
17.40537,78.44863,20,20,3,1
17.39448,78.48178,20,20,8,1
17.39114,78.4396,20,20,1,2
17.38762,78.48265,20,20,6,1
17.40161,78.47801,20,20,6,1
17.39248,78.43975,20,20,1,1
17.4041,78.47567,20,20,4,1
28.6439,77.21777,20,20,3,0
28.65439,77.2114,20,6,6,1
28.64294,77.21728,20,20,3,0
28.64704,77.21206,20,18,5,0
28.65201,77.23324,20,15,6,0
28.65185,77.2333,20,15,6,1
28.64527,77.21326,20,20,4,0
28.64115,77.21639,20,20,3,0
28.644,77.20985,20,20,4,2
28.64049,77.21133,20,20,6,0
28.63553,77.2187,20,20,4,2
28.63442,77.21812,20,20,4,0
28.6437,77.24033,20,10,1,1
28.63538,77.20996,20,20,5,0
28.63788,77.20571,20,12,5,1
28.63743,77.20617,20,12,5,1
28.63494,77.20959,20,20,5,0
28.63755,77.20589,20,12,5,1
28.64484,77.24351,20,8,1,1
28.63656,77.20626,20,11,4,2
28.64016,77.24291,20,7,1,0
28.63662,77.20262,20,7,4,1
28.63539,77.20263,20,6,4,1
28.63221,77.20636,20,7,2,1
28.64952,77.19373,20,20,6,0
28.63121,77.20277,20,3,2,1
28.63043,77.20191,20,3,2,1
28.63004,77.2,20,3,2,1
28.64142,77.18537,20,20,1,0
28.65992,77.26639,20,17,2,0
28.69492,77.2043,20,20,14,2
28.64652,77.2747,20,20,1,0
28.69574,77.20392,20,20,14,2
28.68255,77.26781,20,20,2,0
28.63333,77.28605,20,20,16,2
28.63267,77.28609,20,20,15,2
28.70366,77.26037,20,20,5,0
28.69471,77.27444,20,20,12,2
28.69526,77.27494,20,20,10,2
28.64158,77.29461,20,20,4,0
28.64244,77.29597,20,20,3,0
28.69414,77.27922,20,20,11,2
28.69362,77.27992,20,20,12,2
28.701,77.27261,20,20,8,0
28.58568,77.25341,20,20,4,0
28.68953,77.29426,20,20,6,0
28.63679,77.30452,20,20,2,0
28.71351,77.17497,20,20,3,0
28.65311,77.30832,20,20,3,2
28.66905,77.31207,20,15,5,0
28.66931,77.31215,20,14,5,0
28.69669,77.14262,20,20,3,0
28.56927,77.20154,20,9,3,1
28.56922,77.2013,20,9,3,1
28.6706,77.31597,20,20,3,0
28.56891,77.20119,20,10,3,1
28.57849,77.17274,20,3,1,1
28.56688,77.22985,20,20,20,2
28.56686,77.22996,20,20,20,2
28.5784,77.1726,20,3,1,1
28.59876,77.29879,20,20,1,0
28.66295,77.31888,20,20,5,0
28.66295,77.31888,20,20,5,0
28.66295,77.31888,20,20,5,0
28.66295,77.31888,20,20,5,0
28.5813,77.16543,20,8,1,1
28.58164,77.16392,20,8,1,1
28.59435,77.29601,20,10,4,1
28.66802,77.31957,20,20,5,0
28.58061,77.16366,20,7,1,1
28.59527,77.29921,20,16,5,0
28.64195,77.32288,20,17,3,0
28.57372,77.17205,20,2,1,1
